IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.17.2,,,,,1
192.168.17.3,,,,,1
192.168.17.4,,,,,1
192.168.17.5,,,,,1
192.168.17.6,,,,,1
192.168.17.7,,,,,1
192.168.17.8,,,,,1
192.168.17.9,,,,,1
192.168.17.10,,,,,1
192.168.17.11,,,,,1
192.168.17.12,,,,,1
192.168.17.13,,,,,1
192.168.17.14,,,,,1
192.168.17.15,,,,,1
192.168.17.16,,,,,1
192.168.17.17,,,,,1
192.168.17.18,,,,,1
192.168.17.19,,,,,1
192.168.17.20,,,,,1
192.168.17.21,,,,,1
192.168.17.22,,,,,1
192.168.17.23,,,,,1
192.168.17.24,,,,,1
192.168.17.25,,,,,1
192.168.17.26,,,,,1
192.168.17.27,,,,,1
192.168.17.28,,,,,1
192.168.17.29,,,,,1
192.168.17.30,,,,,1
192.168.17.31,,,,,1
192.168.17.32,,,,,1
192.168.17.33,,,,,1
192.168.17.34,,,,,1
192.168.17.35,,,,,1
192.168.17.36,,,,,1
192.168.17.37,,,,,1
192.168.17.38,,,,,1
192.168.17.39,,,,,1
192.168.17.40,,,,,1
192.168.17.41,,,,,1
192.168.17.42,,,,,1
192.168.17.43,,,,,1
192.168.17.44,,,,,1
192.168.17.45,,,,,1
192.168.17.46,,,,,1
192.168.17.47,,,,,1
192.168.17.48,,,,,1
192.168.17.49,,,,,1
192.168.17.50,,,,,1
192.168.17.51,,,,,1
192.168.17.52,,,,,1
192.168.17.53,,,,,1
192.168.17.54,,,,,1
192.168.17.55,,,,,1
192.168.17.56,,,,,1
192.168.17.57,,,,,1
192.168.17.58,,,,,1
192.168.17.59,,,,,1
192.168.17.60,,,,,1
192.168.17.61,,,,,1
192.168.17.62,,,,,1
192.168.17.63,,,,,1
192.168.17.64,,,,,1
192.168.17.65,,,,,1
192.168.17.66,,,,,1
192.168.17.67,,,,,1
192.168.17.68,,,,,1
192.168.17.69,,,,,1
192.168.17.70,,,,,1
192.168.17.71,,,,,1
192.168.17.72,,,,,1
192.168.17.73,,,,,1
192.168.17.74,,,,,1
192.168.17.75,,,,,1
192.168.17.76,,,,,1
192.168.17.77,,,,,1
192.168.17.78,,,,,1
192.168.17.79,,,,,1
192.168.17.80,,,,,1
192.168.17.81,,,,,1
