IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.11.2,M21,,,,1
192.168.11.3,M21,,,,1
192.168.11.4,M21,,,,1
192.168.11.5,M21,,,,1
192.168.11.6,M21,,,,1
192.168.11.7,M21,,,,1
192.168.11.8,M21,,,,1
192.168.11.9,M21,,,,1
192.168.11.10,M21,,,,1
192.168.11.11,M21,,,,1
192.168.11.12,M21,,,,1
192.168.11.13,M21,,,,1
192.168.11.14,M21,,,,1
192.168.11.15,M21,,,,1
192.168.11.16,M21,,,,1
192.168.11.17,M21,,,,1
192.168.11.18,M21,,,,1
192.168.11.19,M21,,,,1
192.168.11.20,M21,,,,1
192.168.11.21,M21,,,,1
192.168.11.22,M21,,,,1
192.168.11.23,M21,,,,1
192.168.11.24,M21,,,,1
192.168.11.25,M21,,,,1
192.168.11.26,M21,,,,1
192.168.11.27,M21,,,,1
192.168.11.28,M21,,,,1
192.168.11.29,M21,,,,1
192.168.11.30,M21,,,,1
192.168.11.31,M21,,,,1
192.168.11.32,M21,,,,1
192.168.11.33,M21,,,,1
192.168.11.34,M21,,,,1
192.168.11.35,M21,,,,1
192.168.11.36,M21,,,,1
192.168.11.37,M21,,,,1
192.168.11.38,M21,,,,1
192.168.11.39,M21,,,,1
192.168.11.40,M21,,,,1
192.168.11.41,M21,,,,1
192.168.11.42,M21,,,,1
192.168.11.43,M21,,,,1
192.168.11.44,M21,,,,1
192.168.11.45,M21,,,,1
192.168.11.46,M21,,,,1
192.168.11.47,M21,,,,1
192.168.11.48,M21,,,,1
192.168.11.49,M21,,,,1
192.168.11.50,M21,,,,1
192.168.11.51,M21,,,,1
192.168.11.52,M21,,,,1
192.168.11.53,M21,,,,1
192.168.11.54,M21,,,,1
192.168.11.55,M21,,,,1
192.168.11.56,M21,,,,1
192.168.11.57,M21,,,,1
192.168.11.58,M21,,,,1
192.168.11.59,M21,,,,1
192.168.11.60,M21,,,,1
192.168.11.61,M21,,,,1
192.168.11.62,M21,,,,1
192.168.11.63,M21,,,,1
192.168.11.64,M21,,,,1
192.168.11.65,M21,,,,1
192.168.11.66,M21,,,,1
192.168.11.67,M21,,,,1
192.168.11.68,M21,,,,1
192.168.11.69,M21,,,,1
192.168.11.70,M21,,,,1
192.168.11.71,M21,,,,1
192.168.11.72,M21,,,,1
192.168.11.73,M21,,,,1
192.168.11.74,M21,,,,1
192.168.11.75,M21,,,,1
192.168.11.76,M21,,,,1
192.168.11.77,M21,,,,1
192.168.11.78,M21,,,,1
192.168.11.79,M21,,,,1
192.168.11.80,M21,,,,1
192.168.11.81,M21,,,,1
192.168.11.82,M21,,,,1
192.168.11.83,M21,,,,1
192.168.11.84,M21,,,,1
192.168.11.85,M21,,,,1
192.168.11.86,M21,,,,1
192.168.11.87,M21,,,,1
192.168.11.88,M21,,,,1
192.168.11.89,M21,,,,1
192.168.11.90,M21,,,,1
192.168.11.91,M21,,,,1
192.168.11.92,M21,,,,1
192.168.11.93,M21,,,,1
192.168.11.94,M21,,,,1
192.168.11.95,M21,,,,1
192.168.11.96,M21,,,,1
192.168.11.97,M21,,,,1
192.168.11.98,M21,,,,1
192.168.11.99,M21,,,,1
192.168.11.100,M21,,,,1
192.168.11.101,M21,,,,1
192.168.12.2,M21,,,,1
192.168.12.3,M21,,,,1
192.168.12.4,M21,,,,1
192.168.12.5,M21,,,,1
192.168.12.6,M21,,,,1
192.168.12.7,M21,,,,1
192.168.12.8,M21,,,,1
192.168.12.9,M21,,,,1
192.168.12.10,M21,,,,1
192.168.12.11,M21,,,,1
192.168.12.12,M21,,,,1
192.168.12.13,M21,,,,1
192.168.12.14,M21,,,,1
192.168.12.15,M21,,,,1
192.168.12.16,M21,,,,1
192.168.12.17,M21,,,,1
192.168.12.18,M21,,,,1
192.168.12.19,M21,,,,1
192.168.12.20,M21,,,,1
192.168.12.21,M21,,,,1
192.168.12.22,M21,,,,1
192.168.12.23,M21,,,,1
192.168.12.24,M21,,,,1
192.168.12.25,M21,,,,1
192.168.12.26,M21,,,,1
192.168.12.27,M21,,,,1
192.168.12.28,M21,,,,1
192.168.12.29,M21,,,,1
192.168.12.30,M21,,,,1
192.168.12.31,M21,,,,1
192.168.12.32,M21,,,,1
192.168.12.33,M21,,,,1
192.168.12.34,M21,,,,1
192.168.12.35,M21,,,,1
192.168.12.36,M21,,,,1
192.168.12.37,M21,,,,1
192.168.12.38,M21,,,,1
192.168.12.39,M21,,,,1
192.168.12.40,M21,,,,1
192.168.12.41,M21,,,,1
192.168.12.42,M21,,,,1
192.168.12.43,M21,,,,1
192.168.12.44,M21,,,,1
192.168.12.45,M21,,,,1
192.168.12.46,M21,,,,1
192.168.12.47,M21,,,,1
192.168.12.48,M21,,,,1
192.168.12.49,M21,,,,1
192.168.12.50,M21,,,,1
192.168.12.51,M21,,,,1
192.168.12.52,M21,,,,1
192.168.12.53,M21,,,,1
192.168.12.54,M21,,,,1
192.168.12.55,M21,,,,1
192.168.12.56,M21,,,,1
192.168.12.57,M21,,,,1
192.168.12.58,M21,,,,1
192.168.12.59,M21,,,,1
192.168.12.60,M21,,,,1
192.168.12.61,M21,,,,1
192.168.12.62,M21,,,,1
192.168.12.63,M21,,,,1
192.168.12.64,M21,,,,1
192.168.12.65,M21,,,,1
192.168.12.66,M21,,,,1
192.168.12.67,M21,,,,1
192.168.12.68,M21,,,,1
192.168.12.69,M21,,,,1
192.168.12.70,M21,,,,1
192.168.12.71,M21,,,,1
192.168.12.72,M21,,,,1
192.168.12.73,M21,,,,1
192.168.12.74,M21,,,,1
192.168.12.75,M21,,,,1
192.168.12.76,M21,,,,1
192.168.12.77,M21,,,,1
192.168.12.78,M21,,,,1
192.168.12.79,M21,,,,1
192.168.12.80,M21,,,,1
192.168.12.81,M21,,,,1
192.168.12.82,M21,,,,1
192.168.12.83,M21,,,,1
192.168.12.84,M21,,,,1
192.168.12.85,M21,,,,1
192.168.12.86,M21,,,,1
192.168.12.87,M21,,,,1
192.168.12.88,M21,,,,1
192.168.12.89,M21,,,,1
192.168.12.90,M21,,,,1
192.168.12.91,M21,,,,1
192.168.12.92,M21,,,,1
192.168.12.93,M21,,,,1
192.168.12.94,M21,,,,1
192.168.12.95,M21,,,,1
192.168.12.96,M21,,,,1
192.168.12.97,M21,,,,1
192.168.12.98,M21,,,,1
192.168.12.99,M21,,,,1
192.168.12.100,M21,,,,1
192.168.12.101,M21,,,,1
192.168.13.2,M21,,,,1
192.168.13.3,M21,,,,1
192.168.13.4,M21,,,,1
192.168.13.5,M21,,,,1
192.168.13.6,M21,,,,1
192.168.13.7,M21,,,,1
192.168.13.8,M21,,,,1
192.168.13.9,M21,,,,1
192.168.13.10,M21,,,,1
192.168.13.11,M21,,,,1
192.168.13.12,M21,,,,1
